"Now Shopping by","تسوق الآن من"
"Once your package ships we will send you a tracking number.","سوف نرسلك لم رقم بوليصة الشحن فور شحن طلبكم."
"Your Order <span class=""no-link"">#%increment_id</span>","طلبك <span class=""no-link"">#%increment_id</span>"
"Placed on <span class=""no-link"">%created_at</span>","بتاريخ <span class=""no-link"">%created_at</span>"
"Update to your %store_name order","تحديث طلبك في %store_name"
"Your %store_name order has shipped","لقد تم شحن طلبك %store_name"
"Your shipping confirmation is below. Thank you again for your business.","تأكيد الشحن الخاص بك أدناه. أشكركم مرة أخرى على عملك."
"Your Shipment #%shipment_id for Order #%order_id","شحنتك #%shipment_id لطلب رقم #%order_id"
"Update to your %store_name shipment","تحديث للشحنة الخاصة بك %store_name"
"Account Dashboard","لوحة تحكم الحساب"
"Address Book","سجل العناوين"
"Account Information","معلومات الحساب"
"About Us","من نحن"
"Customer Service","خدمة العملاء"
"My Account",حسابي
Summary,خلاصة
Menu,القائمة
Account,الحساب
Settings,الإعدادات
"Elasticsearch Server Hostname","اسم مضيف خادم الاستيكسيارتش"
"Elasticsearch Server Port","منفذ الملقم الاستيكسيرتش"
"Elasticsearch Index Prefix","بادئة مؤشر الاستيكسيرتش"
"Enable Elasticsearch HTTP Auth","تمكين مصادقة HTTP الاستيكسيرتش"
"Elasticsearch HTTP Username","الاستيكسيرتش HTTP اسم المستخدم"
"Elasticsearch HTTP Password","الاستيكسيرتش HTTP كلمة المرور"
"Elasticsearch Server Timeout","مهلة الملقم الاستيكسيرتش"
"Test Connection","تجربة الإتصال"
"Are you sure you want to delete this gift registry?","هل أنت متأكد من أنك تريد حذف قائمة الهدايا هذه؟"
"Delete Registry","حذف السجل"
"Gift Registry Entity","كيان قائمة الهدايا"
"Product ID","الرمز التعريفي للمنتج"
Product,المنتج
SKU,"رمز المنتج"
Price,السعر
Quantity,الكمية
Total,إجمالي
"Add to Gift Registry","اضف لقائمة الهدايا"
"Are you sure you want to add these products?","هل أنت متأكد من إضافة هذه المنتجات؟"
"Update Items and Quantities","تحديث الأصناف والكميات"
ID,التعريف
Requested,"تم الطلب"
Fulfilled,مكتملة
Note,ملحوظة
Action,إجراء
"Update Quantity","تحديث الكمية"
"Remove Item","إزالة سلعة"
"Sharing Information","بيانات المشاركة"
Emails,"رسائل البريد الإلكتروني"
"Send From","إرسال من"
Message,رسالة
"Share Gift Registry","نشر قائمة الهدايا"
"Gift Registry","قائمة الهدايا"
Event,الحدث
Registrants,المسجلين
"Event Date","تاريخ الحدث"
"Total Items","مجموع القطع"
Remaining,المتبقي
Public,عام
No,لا
Yes,نعم
Website,الموقع
"Gift Registry Types","انواع قائمة الهدايا"
"Add Gift Registry Type","اضف نوع قائمة الهدايا"
Save,حفظ
Delete,احذف
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Add Attribute","اضافة السمة"
"Delete Attribute","حذف السمة"
"Use Default Value","استخدام قيمة افتراضية"
Short,قصير
Medium,متوسطة
Long,طويل
Full,كامل
"Add New Option","اضف خيار جديد"
"Delete Option","حذف خيار"
"General Information","المعلومات العامة"
Code,رمز
Label,علامة
"Sort Order",الترتيب
Attributes,الصفات
[GLOBAL],[عام]
[WEBSITE],[الموقع]
"[STORE VIEW]","[عرض المتجر]"
None,"لا شئ"
"New Address","عنوان جديد"
"Edit Gift Registry","تعديل قائمة الهدايا"
"Create Gift Registry","انشاء قائمة هدايا"
State/Province,ولاية/محافظة
"Please select a region, state or province","من فضلك اختر منطقة، ولاية أو محافظة"
"Please Select","أختر من فضلك"
"View Gift Registry %1","عرض قائمة الهدايا %1"
"-- Please select --","-- اختر من فضلك --"
From,من
To,إلى
"Gift Registry Search","بحث بقائمة الهدايا"
"Select Search Type","حدد نوع البحث"
Registrant,مسجل
"Registry owner","صاحب القائمة"
"We can't add shopping cart items to the gift registry right now.","لا يمكن إضافة عناصر سلة التسوق لسجل الهدايا الآن."
Customers,العملاء
"Please enter at least one email address.","الرجاء ادخال عنوان بريد الكتروني واحد على الأقل."
"We can't update these gift registry items right now.","لا يمكن أن نقوم بتحديث سجل الهدايا الآن."
"We can't save this gift registry type right now.","لا يمكننا حفظ نوع سجل الهدية الآن."
"Page not found.","لم يتم العثور على الصفحة."
"Incorrect Type","نوع غير صحيح"
"Please correct the address.","الرجاء تصحيح العنوان."
"Gift Registry Items","عناصر قائمة الهدايا"
"Please enter a valid email address.","الرجاء ادخال عنوان بريد الكتروني صحيح."
"We can't add this item to your shopping cart right now.","لا يمكننا الآن إضافة هذا البند إلى عربة التسوق الخاصة بك."
"Gift Registry Info","بيانات قائمة الهدايا"
"Please enter the ""%1"".","الرجاء إدخال ""%1""."
"Please enter the correct ""%1"".","الرجاء إدخال ""%1"" الصحيح."
"Custom Types","أنواع مخصصة"
label,التسمية
"Please add invitees.","الرجاء إضافة المدعوين."
"Please enter a valid invitee email address.","الرجاء ادخال عنوان بريد الكتروني صحيح للمدعوا."
Private,خاص
Inactive,خاملة
Active,فعال
"Please enter the title.","رجاء إدخال العنوان."
"Please enter the message.","الرجاء إدخال الرسالة."
"This product(s) is out of stock.","هذا المنتج (المنتجات) غير متوفر في المخزن."
"An item option with code %1 already exists.","خيار المنتج بالكود %1 موجود مسبقا."
New,جديد
"Please enter the first name.","الرجاء ادخال الاسم الاول."
"Please enter the last name.","الرجاء ادخال الاسم الاخير."
"Please enter a valid email address(for example, daniel@x.com).","الرجاء ادخال عنوان بريد الكتروني صالح. (مثلاً: johndoe@domain.com)."
"-- All --","-- الكل --"
Type,النوع
Owner,المالك
"Shipping Address","عنوان الشحن"
"Shopping Cart Items","عناصر سلة التسوق"
"New Attribute","سمة جديدة"
"Input Type","نوع الإدخال"
"Is Searcheable","يظهر في نتائج البحث"
"Is Default","هي افتراضية"
"Select a shipping address from your address book or enter a new address.","اختر عنوان الشحن من دفتر العناوين، او ادخال عنوان جديد."
Company,الشركة
Address,العنوان
"Street Address","عنوان الشارع"
"Street Address %1","عنوان الشارع %1"
City,المدينة
"Please select a region, state or province.","من فضلك اختر منطقة، ولاية أو محافظة."
"Zip/Postal Code","الرمز البريدي"
Country,الدولة
"Phone Number","رقم الهاتف"
Fax,فاكس
"Ship to registrant's address","إشحن إلى العنوان المسجل"
"Added On","اضافة على"
Qty,الكميّة
"Update Gift Registry","تعديل قائمة الهدايا"
Back,رجوع
"This gift registry has no items.","قائمة الهدايا هذه لا يوجد بها اي عناصر."
"Created On","انشئت في"
Edit,تعديل
"You haven't created a gift registry yet.","لم تقم بإنشاء سجل هدايا بعد."
"Add New","إضافة جديد"
"First Name","الإسم الأول"
Name,اسم
Email,"البريد الإلكتروني"
"* Required Fields","* حقول مطلوبة"
Sender,المرسل
"Maximum %1 email addresses.","%1 عنوان بريد الكتروني بحد اقصى."
"Gift Registry Type","انواع قائمة الهدايا"
"Please select a gift registry type.","الرجاء تحديد نوع قائمة الهدايا."
Next,التالي
"Last Name","اسم العائلة"
Type:,النوع:
Status,الحاله
"Gift Registry Items Updated","تم تحديث عناصر قائمة الهدايا"
"Product Name","اسم المنتج"
"Requested Quantity","الكمية المطلوبة"
"Remaining Quantity","الكمية المتبقية"
Quantity:,الكمية:
"Customize and Add to Gift Registry","تخصيص وإضافة إلى قائمة الهدايا"
"This won't take long . . .","هذا لن يستغرق وقتاً طويلاً . . ."
"Required Fields","حقول مطلوبة"
"For better search results, first choose a gift registry type. By default, we search all registry types.","لتحسين نتائج البحث، اختر نوع قائمة الهدايا أولاً. افتراضيا، نقوم بالبحث جميع أنواع القوائم."
Search,بحث
"Gift Registry ID","رقم قائمة الهدايا"
"Search Results","نتائج البحث"
Location,موقع
Actions,اعمال
View,عرض
"Your search returned no results.","لا يوجد نتائج لبحثك."
"Search By","بحث بـ"
"Unit Price","سعر الوحدة"
"Add to Cart","أضف لسلة التسوق"
"Gift Registry created at %store_name","تم اضافة قائمة الهدايا على %store_name"
"You have successfully created the new gift registry ""%registry_name"".","قمت بنجاح بإنشاء سجل هدايا جديد""% registry_name""."
"Your Gift Registry Message","رسالة قائمة الهدايا"
"Now you can add products to your gift registry.","الآن يمكنك إضافة منتجات إلى قائمة الهدايا الخاصة بك."
"You can also share it with your friends and family by logging into your account and visiting the Gift Registry tab.","الآن يمكنك أيضا مشاركتها مع أصدقائك وعائلتك بتسجيل الدخول إلى الحساب الخاص بك وزيارة علامة التبويب ""قائمة الهدايا""."
"Or you can email the following link and gift registry ID to them:","أو يمكنك ارسالة الرابل التالي مع رقم قائمة الهدايا عبر البريد الإلكتروني:"
"Gift Registry shared at %store_name","تم نشر قائمة الهدايا على %store_name"
"Gift Registry:","قائمة الهدايا:"
"Gift Registry updated at %store_name","تم تحديث قائمة الهدايا على %store_name"
"The following items have been purchased from your gift registry ""%registry_name"":","تم شراء العناصر التالية من سجل الهدايا الخاص بك ""% registry_name"":"
"Ship Here","اشحن هنا"
"Use gift registry shipping address","استخدام عنوان الشحن بقائمة الهدايا"
Text,نص
"Gift Registry Details","تفاصيل قائمة الهدايا"
Role,دور
"Gift Registry Section","قسم قائمة الهدايا"
"General Options","خيارات عامة"
"Enable Gift Registry","تفعيل قائمة الهدايا"
"Email Template","قالب البريد الإلكتروني"
"Email Sender","مرسل البريد الإلكتروني"
"Gift Registry Sharing","نشر قائمة الهدايا"
"Gift Registry Update","تحديث قائمة الهدايا"
Select,إختيار
Date,التاريخ
"Event Location","مكان الحدث"
"Gift Registry Quick Search Form","بحث سريع بقائمة الهدايا"
Template,قالب
"You can view and purchase items from this gift registry at <a href=""%account_url"">%store_name</a>.","يمكنك عرض وشراء أصناف من سجل الهدايا هذا <a href=""%account_url"">%store_name</a>."
"You can create your own gift registry on <a href=""%account_url"">%store_name</a> and share it with friends and family.","يمكنك إنشاء سجل هدايا خاص بك في <a href=""%account_url"">%store_name</a> ومشاركته مع الأصدقاء والعائلة."
"some name","بعض الاسم"
"Payment Type","وسيلة الدفع"
"Transaction Type","نوع المعاملة التجارية"
"Transaction ID","رقم المعاملة"
BeagleScore,"بيجل سكور"
"CVV Verification","التحقق CVV"
"Address Verification","التحقق من العنوان"
"Email Verification","التحقق من البريد الإلكتروني"
"Mobile Verification","التحقق من الهاتف المحمول"
"Phone Verification","تحقق الهاتف"
"Card number","رقم البطاقة"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Response Code","رمز الاستجابة"
"Fraud Message","رسالة الاحتيال"
"Sorry, but something went wrong","عفواً، حدث خطأ"
"Wrong response type","نوع الاستجابة خاطئة"
"Transaction has been declined. Please try again later.","تم رفض المعاملة. الرجاء المحاولة مرة أخرى لاحقاً."
"Authorize Only","المصرح فقط"
"Authorize and Capture","التحقق و القبض"
"Credit Card Type","نوع بطاقة الائتمان"
"Credit Card Number","رقم بطاقة الائتمان"
"Card Verification Number","رقم التحقق من البطاقة"
Enabled,تفعيل
"Connection Type","نوع الاتصال"
Title,العنوان
"Payment Action","فعل الدفع"
Debug,نقح
"Credit Card Types","أنواع بطاقة الائتمان"
"Payment from Applicable Countries","الدفع من البلدان المطبقة"
"Payment from Specific Countries","الدفع من بلدان معينة"
"Transaction has been declined, please, try again later.","تم رفض المعاملة. الرجاء المحاولة مرة أخرى لاحقاً."
"Switch/Solo/Maestro Only","سويتش/سولو/مايسترو فقط"
"Issue Number","رقم الإصدار"
"Start Date","تاريخ البدء"
"Condition type ""%1"" is not allowed","نوع الشرط ""%1"" غير مسموح"
"The configuration parameter ""formElement"" is a required for ""%1"" field.","متغير الإعدادات ""فورميليمينت"" مطلوب بنسبة ""%1"" حقل."
"Remove %1","إزالة %1"
"Add New %1","اضف جديد %1"
"New %1","%1 جديد"
"Please select item(s).","الرجاء تحديد العنصر (العناصر)."
"Invalid XML in file %1:\n%2","XML غير صالح في ملف %1:\n%2"
"Unsupported bookmark action.","Please enter a valid email address (Ex: johndoe@domain. com)."
"Invalid UI Component element name: '%1'","اسم عنصر ""مكون واجهة المستخدم"" غير صالح: '%1'"
"Bookmark with id ""%1"" does not exist.","لا توجد إشارة مرجعية مع معرف ""%1""."
"Invalid UI Component element name: ''","اسم عنصر ""مكون واجهة المستخدم"" غير صالح: '%1'"
Cancel,إلغاء
"Changes have been made to this section that have not been saved.","تم إجراء تغييرات في هذا القسم و التي لم يتم حفظها."
"This tab contains invalid data. Please resolve this before saving.","تحتوي علامة التبويب هذه على بيانات غير صالحة. الرجاء حل هذه قبل الحفظ."
Assign,إسناد
Options,الخيارات
"records found","تم العثور على سجلات"
selected,مُحدد
of,من
Filters,تصفيات
Add,إضافة
"Something went wrong.","حدث خطأ ما."
Done,انتهى
options,الخيارات
Select...,اختر...
Selected,مُحدد
"Select All","اختيار الكل"
"Deselect All","إلغاء تحديد الكل"
On,تشغيل
Off,إيقاف
"Go to Details Page","انتقل إلى صفحة التفاصيل"
"Default View","طريقة العرض الافتراضية"
from,من
to,الى
"Select Date","اختيار التاريخ"
"Please enter {0} words or less.","الرجاء إدخال {0} كلمة او أقل."
"Please enter at least {0} words.","الرجاء إدخال {0} كلمة على الأقل."
"Please enter between {0} and {1} words.","الرجاء إدخال بين {0} و {1} كلمات."
"Letters or punctuation only please","فضلاً حروف و علامات ترقيم فقط"
"Letters, numbers, spaces or underscores only please","الحروف والأرقام والمسافات و الخط السفلي فقط"
"Letters only please","فضلاً حروف فقط"
"No white space please","لا توجد مساحة بيضاء من فضلك"
"Your ZIP-code must be in the range 902xx-xxxx to 905-xx-xxxx","رمزك البريدي يجب ان يكون من 902xx-xxxx الى 905-xx-xxxx"
"A positive or negative non-decimal number please","فضلاً عدد إيجابي او سلبي غير عشري"
"The specified vehicle identification number (VIN) is invalid.","رقم التعريف المحدد للمركبة (VIN) غير صالح."
"Please enter a correct date","الرجاء إدخال تاريخ صحيح"
"Please enter a valid time, between 00:00 and 23:59","الرجاء إدخال وقت صحيح، بين 00:00 و 23:59"
"Please enter a valid time, between 00:00 am and 12:00 pm","الرجاء إدخال وقت صحيح، بين الساعة 00:00 ص و 12:00 م"
"Please specify a valid phone number","الرجاء إدخال رقم هاتف صحيح"
"Please specify a valid mobile number","الرجاء إدخال رقم هاتف محمول صحيح"
"Please enter at least {0} characters","الرجاء إدخال {0} أحرف على الأقل"
"Please enter a valid credit card number.","الرجاء ادخال رقم بطاقه الائتمان"
"Please enter a valid IP v4 address.","الرجاء إدخال عنوان IP من نوع v4 صحيح."
"Please enter a valid IP v6 address.","الرجاء إدخال عنوان IP من نوع v6 صحيح."
"Invalid format.","الصيغة غير صالحة."
"HTML tags are not allowed.","اكواد HTML غير مسموح بها."
"Please select an option.","يجب إختيار احد الخيارات."
"Empty Value.","قيمة فارغة."
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","الرجاء استخدام فقط الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو مسافات فقط في هذا الحقل."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9) أو تسطير أسفل السطر (_) في هذا الحقل، ويجب ان يبدا بحرف."
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","الرجاء استخدام الأحرف (a إلى z أو A إلى Z)، الأرقام (0-9)، المسافات و ""#"" في هذا الحقل."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","من فضلك قم بإدخال رقم هاتف صحيح. كمثال (123) 456-7890 أو 123-456-7890."
"Please enter a valid fax number (Ex: 123-456-7890).","الرجاء إدخال رقم فاكس صحيح (مثال: 123-456-7890)."
"Please enter a valid email address (Ex: johndoe@domain.com).","الرجاء إدخال عنوان بريد إلكتروني سليم (مثلاً: johndoe@domain.com)."
"Please enter 6 or more characters. Leading and trailing spaces will be ignored.","الرجاء إدخال 6 احرف أو أكثر. سيتم تجاهل المسافات في البداية والنهاية."
"Please enter 7 or more characters, using both numeric and alphabetic.","الرجاء إدخال 7 أحرف أو أكثر، باستخدام كل من الارقام و الأحرف."
"Minimum length of this field must be equal or greater than %1 symbols. Leading and trailing spaces will be ignored.","الحد الأدنى لطول هذا الحقل يجب أن تكون مساوية أو أكبر %1. سيتم تجاهل المسافات البادئة والزائدة."
"Minimum of different classes of characters in password is %1. Classes of characters: Lower Case, Upper Case, Digits, Special Characters.","الحد الأدنى من الفئات المختلفة من الرموز و الأحرف هو %1 الفئات هي: حروف صغيرة, حروف كبيرة, ارقام, رموز."
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://).","الرجاء إدخال عنوان URL صحيح. مطلوب البروتوكول (http://أو https://أو ftp://)."
"Please enter a valid URL. For example http://www.example.com or www.example.com.","الرجاء إدخال عنوان URL صحيح. فعلى سبيل المثال http://www.example.com أو www.example.com."
"Please enter a valid XML-identifier (Ex: something_1, block5, id-4).","الرجاء إدخال معرف XML صالح. وعلى سبيل المثال ( something_1، block5، id-4.)."
"Please enter a valid social security number (Ex: 123-45-6789).","الرجاء إدخال رقم الضمان الاجتماعي صالحة (Ex: 123-45-6789)."
"Please enter a valid zip code (Ex: 90602 or 90602-1234).","الرجاء إدخال رمز بريدي صالح (مثال: 90602 أو 90602-1234)."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","الرجاء استخدام هذا الشكل حتى الآن : اليوم / الشهر / السنة. فعلى سبيل المثال 17/03/2006 للالسابع عشر من اذار / مارس ، 2006."
"Please enter a valid $ amount. For example $100.00.","الرجاء ادخال $ من المبلغ. فعلى سبيل المثال 100،00 $."
"Please enter a number 0 or greater in this field.","الرجاء إدخال رقم 0 أو أكبر في هذا الحقل."
"Please enter a number greater than 0 in this field.","فضلا قم بادخال رقم اكبر من 0 في الحقل."
"Please input a valid CSS-length (Ex: 100px, 77pt, 20em, .5ex or 50%).","فضبلاً إدخل طول CSS صالح (مثال: 100px, 77pt, 20em, .5ex or 50%)."
"Please enter a valid number in this field.","الرجاء ادخال عدد في هذا المجال."
"Please enter a valid integer in this field.","الرجاء إدخال رقم صحيح في هذه الخانة."
"The value is not within the specified range.","القيمة ليست ضمن النطاق المحدد."
"Please use letters only (a-z or A-Z) in this field.","الرجاء استخدام الأحرف فقط (من الالف الى الياء) في هذا الحقل."
"Please use only letters (a-z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","الرجاء استخدام الأحرف (a إلى z)، الأرقام (0-9) أو تسطير أسفل السطر (_) في هذا الحقل، ويجب ان يبدا بحرف."
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.","فضلاً استخدم الحروف (a-z أو A-Z) او أرقام (0-9) فقط في هذا الحقل. لا يسمح بأي مسافات أو رموز أخرى."
"Please enter a valid date.","الرجاء ادخال تاريخ صحيح."
"Please enter a valid URL Key (Ex: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"").","الرجاء إدخال عنوان URL بشكل صحيح (مثال: ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"")."
"Please enter a valid zip code.","الرجاء إدخال الرمز البريدي."
"Please select State/Province.","الرجاء اختيار الدولة / الأقليم."
"Please enter a value less than or equal to {0}.","الرجاء إدخال قيمة أقل من أو يساوي إلى {0}."
"Please enter a value greater than or equal to {0}.","الرجاء إدخال قيمة أكبر من أو تساوي {0}."
"Please enter valid email addresses, separated by commas. For example, johndoe@domain.com, johnsmith@domain.com.","الرجاء إدخال عناوين بريد الإلكتروني صالحة، مفصولة بفواصل. على سبيل المثال، johndoe@domain.com، johnsmith@domain.com."
"Please enter issue number or start date for switch/solo card type.","الرجاء إدخال رقم الإصدار أو تاريخ البدء لنوع بطاقة switch/solo."
"This is a required field.","هذا الحقل مطلوب."
"Please enter positive number in this field.","الرجاء إدخال رقم موجب في هذا الحقل."
"Please enter a valid value, ex: 10,20,30","الرجاء ادخال قيمة ، مثال : 10،20،30"
"We don't recognize or support this file extension type.","لم نتعرف او ندعم إمتداد هذا الملف."
"File you are trying to upload exceeds maximum file size limit.","الملف الذي تحاول تحميل يتجاوز الحجم الأقصى المسموح به للملف."
"Please use tag SCRIPT with SRC attribute or with proper content to include JavaScript to the document.","الرجاء استخدام علامة البرنامج النصي مع سمة SRC أو المحتوى المناسب لتشمل جافا سكريبت للمستند."
"The date is not within the specified range.","التاريخ ليس ضمن النطاق المعين."
Attention,تنبيه
OK,موافق
Close,إغلاق
Ok,موافق
"Log JS Errors to Session Storage","سجل الأخطاء لجافا سكريبت لتخزين جلسة العمل"
"Log JS Errors to Session Storage Key","سجل الأخطاء لجافا سكريبت لمفتاح تخزين جلسة العمل"
CSV,"CSV ملف"
"Initialization error component, check the spelling of the name or the correctness of the call.","مكون خطأ التهيئة، تحقق من هجاء الاسم أو صحة الأتصال."
"Select Items","حدد العناصر"
Submit,إرسال
Columns,أعمدة
Reset,"اعادة ضبط"
Apply,تطبيق
Export,استخراج
"We couldn't find any records.","لم يتم العثور على أي سجلات."
Custom,مخصص
"per page","لكل صفحة"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","من فضلك قم بإدخال 6 أحرف أو أكثر. سيتم تجاهل المسافات قبل أو بعد الأحرف."
ui/grid/filters/elements/select,"واجهة المستخدم/شبكة/فلاتر/عناصر/اختر"
"The fewest you may purchase is %1.","أقل عدد يمكنك شراؤه هو %1."
"You can buy this product only in quantities of %1 at a time.","يمكنك الشراء من هذا المنتج فقط بكميات من %1 في وقت واحد."
"If enabled, can be used by functional tests for extended reporting","إذا تم تمكين، يمكن استخدامها من قبل الاختبارات الوظيفية لإعداد التقارير الموسعة"
"Use this key to retrieve collected js errors","استخدام هذا المفتاح لاسترداد الأخطاء التي جمعت"
"Please enter a value less than or equal to %s.","الرجاء إدخال قيمة أقل من أو تساوي %s."
"Please enter a value greater than or equal to %s.","الرجاء إدخال قيمة أكبر من أو تساوي %s."
URL,الرابط
"Attribute Properties","خصائص السمة"
"Default Label","الملصق الافتراضي"
"Default label","الملصق الافتراضي"
"Attribute Code","رمز السمة"
"This is used internally. Make sure you don't use spaces or more than %1 symbols.","إستخدام داخلي. تأكد من أن كنت لا تستخدم مسافات أو أكثر من %1 رمز."
"Catalog Input Type for Store Owner","نوع الإدخال لصاحب المتجر"
"Values Required","القيم مطلوبة"
"Default Value","القيمة الاعتيادية"
"Unique Value","قيمة نادرة"
"Unique Value (not shared with other products)","قيمة فريدة (لم يتم تقاسمها مع منتجات اخرى)"
"Not shared with other products.","غير مشارك مع المنتجات الأخرى."
"Input Validation for Store Owner","اثبات المدخلات لصاحب المتجر"
Required,مطلوب
System,النظام
"Decimal Number","رقم عشري"
"Integer Number","رقم صحيح"
Letters,رسائل
"Letters (a-z, A-Z) or Numbers (0-9)","حروف (أ-ي، من الألف إلى الياء) أو أرقام (0-9)"
"Text Field","حقل النص"
"Text Area","منطقة النص"
Yes/No,نعم/لا
"Multiple Select","خيارات متعددة"
Dropdown,انزال
"""%1"" is an empty string.","""%1"" فارغة."
"""%1"" is not a valid email address.","'%1' ليس عنوان بريد إلكتروني صحيحا."
"""%1"" is not a valid hostname.","""%1"" ليس هوست صحيح."
"""%1"" is not a valid URL.","""%1"" ليس رابطًا صحيحاً."
"""%1"" is not a valid date.","""%1"" ليس تاريخ صحيح."
"Please enter a valid date between %1 and %2 at %3.","الرجاء إدخال تاريخ صالح بين %1 و %2 في %3."
"Please enter a valid date equal to or greater than %1 at %2.","الرجاء إدخال تاريخ صحيح يساوي أو أكبر من %1 في %2."
"Please enter a valid date less than or equal to %1 at %2.","الرجاء إدخال تاريخ صحيح أقل من أو يساوي إلى %1 في %2."
"""%1"" is not a valid file.","""%1"" ليس ملف صالح."
"""%1"" exceeds the allowed file size.","""%1"" اكبر من حجم الملف المسموح به."
"Group with id ""%1"" does not exist.","لا توجد مجموعة بالمعرف ""%1""."
"Entity is not initialized","الكيان لم تتم تهيئة"
"Unknown parameter","معامل غير معروف"
"The attribute code '%1' is reserved by system. Please try another attribute code","رمز برمجية السمة '%1' محجوز من قبل النظام. الرجاء محاولة إختيار رمز سمة آخر"
"Invalid entity supplied","غير صالح الكيان الموردة"
"The value of attribute ""%1"" must be set","يجب أن يتم تعيين قيمة السمة ""%1"""
"Attribute %1 doesn't work with options","%1 سمة لا يعمل مع الخيارات"
"Attribute %1 doesn't have any option","%1 سمة لا يملك أي خيار"
"Attempt to add an invalid object","محاولة لاضافة هدف غير صحيح"
"Invalid foreign key","مفتاح خارجي غير صحيح"
"Invalid entity type","نوع كائن غير صحيح"
"Invalid attribute type","نوع السمة غير صحيحة"
"Data integrity: No header row found for attribute","سلامة البيانات : لا يوجد صف الراسيه وجدت لالسمة"
"Attribute with the same code","السمة مع نفس الرمز"
"Default option value is not defined","لم يتم تعريف قيمة الخيار الافتراضي"
"Form Element with the same attribute","عنصر نموذج مع نفس السمة"
"Form Fieldset with the same code","مجموعة حقول النموذج بنفس الكود"
"Form Type with the same code","نوع النموذج مع نفس الكود"
